記号,希少性スコア,5件以下カテゴリ数,文字数,文長頑健zスコア,希少性上位1%,|文長z|≥3.5,確認候補
28障368,24.02500257930284,0,330,8.768379873195737,False,True,True
17障436,23.469717907882817,0,184,3.844597329016593,False,True,True
28障367,23.27211537413489,0,185,3.8783218669904227,False,True,True
2020障380,22.31241982371423,0,193,4.148118170781061,False,True,True
21障433,21.763978770473265,0,184,3.844597329016593,False,True,True
27障12,21.43109992385972,0,221,5.092405234048294,False,True,True
30障35,21.419039663785128,0,175,3.5410764872521248,False,True,True
17障9,20.375278632666273,0,188,3.9794954809119116,False,True,True
2021障18,20.250147184395107,0,189,4.013220018885741,False,True,True
24障393,19.86511898093903,0,178,3.642250101173614,False,True,True
27障410,19.80785254381558,0,206,4.5865371644408475,False,True,True
2020障152,19.5393856458741,0,219,5.024956158100634,False,True,True
23障367,19.53564634389917,0,193,4.148118170781061,False,True,True
27障69,19.509199350424012,0,196,4.2492917847025495,False,True,True
28障14,19.496691566766398,0,196,4.2492917847025495,False,True,True
30障96,19.40547288677365,0,221,5.092405234048294,False,True,True
28障222,19.384606793099962,0,176,3.5748010252259546,False,True,True
30障4,19.32359032267748,0,226,5.2610279239174425,False,True,True
24障404,19.078095330981604,0,212,4.788884392283826,False,True,True
2022障10,18.98774616907571,0,200,4.384189936597869,False,True,True
17障161,18.943908272530958,0,188,3.9794954809119116,False,True,True
23障202,18.915438156107754,0,177,3.6085255631997843,False,True,True
2022障17,18.86423495315823,0,177,3.6085255631997843,False,True,True
2020障180,18.728970257189605,0,189,4.013220018885741,False,True,True
25障20,18.587732363987524,0,175,3.5410764872521248,False,True,True
22障6,18.506033987432605,0,258,6.340213139079995,False,True,True
29障243,18.494817343692695,0,175,3.5410764872521248,False,True,True
2021障308,18.411597737498536,0,188,3.9794954809119116,False,True,True
29障241,18.305195595975512,0,219,5.024956158100634,False,True,True
29障31,18.18566747207643,0,255,6.239039525158506,False,True,True
25障115,18.172555573543132,0,207,4.620261702414678,False,True,True
28障24,18.090880459963984,0,248,6.002967759341698,False,True,True
2023障26,17.99426803705777,0,181,3.7434237150951035,False,True,True
26障346,17.877703723725535,0,186,3.9120464049642525,False,True,True
28障43,17.876175976558503,0,198,4.316740860650209,False,True,True
27障129,17.74014229402377,0,224,5.193578847969783,False,True,True
2021障93,17.692242361482844,0,184,3.844597329016593,False,True,True
28障234,17.57695854025899,0,240,5.73317145555106,False,True,True
25障357,17.53057242276747,0,226,5.2610279239174425,False,True,True
2023障182,17.529354147155033,0,189,4.013220018885741,False,True,True
27障133,17.492006095167802,0,183,3.810872791042763,False,True,True
27障224,17.470759241197758,0,177,3.6085255631997843,False,True,True
23障159,17.30033304829867,0,208,4.653986240388507,False,True,True
28障115,17.238071801791,0,184,3.844597329016593,False,True,True
24障358,17.133140402329257,0,177,3.6085255631997843,False,True,True
2021障117,17.11067425415871,0,176,3.5748010252259546,False,True,True
27障118,17.10466967766006,0,255,6.239039525158506,False,True,True
17障1,17.095700900761827,0,177,3.6085255631997843,False,True,True
24障247,16.91207872206973,0,219,5.024956158100634,False,True,True
2023障143,16.906288738206428,0,174,3.507351949278295,False,True,True
26障239,16.879589527567617,0,196,4.2492917847025495,False,True,True
26障77,16.723247153102854,0,180,3.7096991771212737,False,True,True
24障19,16.699616006580023,0,225,5.227303385943613,False,True,True
17障357,16.675512745909998,0,176,3.5748010252259546,False,True,True
29障113,16.590038303619995,0,177,3.6085255631997843,False,True,True
28障16,16.582654953760454,0,213,4.822608930257656,False,True,True
25障14,16.513236109578834,0,180,3.7096991771212737,False,True,True
2023障80,16.49588102143038,0,183,3.810872791042763,False,True,True
2023障127,16.492880071635874,0,194,4.181842708754891,False,True,True
25障132,16.382991122448,0,179,3.675974639147444,False,True,True
24障152,16.3304686938763,0,260,6.4076622150276545,False,True,True
2021障202,16.296250726533632,0,190,4.046944556859572,False,True,True
2021障194,16.05225506684026,0,327,8.667206259274248,False,True,True
2021障189,16.040469321720163,0,327,8.667206259274248,False,True,True
28障197,15.955314651892321,0,217,4.957507082152975,False,True,True
24障245,15.90008520577965,0,188,3.9794954809119116,False,True,True
2022障48,15.88404269095701,0,200,4.384189936597869,False,True,True
22障253,15.740421566620354,0,194,4.181842708754891,False,True,True
2019障194,15.662133068168144,0,193,4.148118170781061,False,True,True
28障180,15.64203183851241,0,322,8.498583569405099,False,True,True
23障98,15.634333603204963,0,188,3.9794954809119116,False,True,True
2019障67,15.629814777906622,0,188,3.9794954809119116,False,True,True
27障211,15.614801781847765,0,185,3.8783218669904227,False,True,True
22障287,15.588607175300067,0,201,4.417914474571699,False,True,True
24障360,15.451477246712164,0,226,5.2610279239174425,False,True,True
28障210,15.334757579999506,0,186,3.9120464049642525,False,True,True
2019障284,15.082268729322903,0,194,4.181842708754891,False,True,True
2021障147,14.830448291261938,0,197,4.28301632267638,False,True,True
24障49,14.730926025130817,0,179,3.675974639147444,False,True,True
26障272,14.659640671851177,0,204,4.519088088493188,False,True,True
